n_tests,budget_k,baseline_ms,proposed_ms,ms_improvement,baseline_ftrr,proposed_ftrr,ftrr_improvement,baseline_bcr,proposed_bcr,bcr_improvement,baseline_selected,proposed_selected
50,5,1.0,1.0,0.0,0.16,0.2,0.04000000000000001,0.6,0.4,-0.19999999999999996,5,5
50,10,1.0,1.0,0.0,0.24,0.4,0.16000000000000003,0.6,0.4,-0.19999999999999996,10,10
50,20,1.0,1.0,0.0,0.36,0.64,0.28,0.8,0.6,-0.20000000000000007,20,20
50,30,0.9666666666666667,0.9333333333333333,-0.033333333333333326,0.48,0.64,0.16000000000000003,1.0,1.0,0.0,30,30
50,50,0.88,0.9473684210526315,0.06736842105263152,0.6,0.64,0.040000000000000036,1.0,1.0,0.0,50,38
100,5,1.0,1.0,0.0,0.16,0.2,0.04000000000000001,0.6,0.4,-0.19999999999999996,5,5
100,10,1.0,1.0,0.0,0.24,0.4,0.16000000000000003,0.6,0.4,-0.19999999999999996,10,10
100,20,0.95,1.0,0.050000000000000044,0.4,0.64,0.24,1.0,0.6,-0.4,20,20
100,30,0.9666666666666667,0.9333333333333333,-0.033333333333333326,0.48,0.64,0.16000000000000003,1.0,1.0,0.0,30,30
100,50,0.98,0.9473684210526315,-0.032631578947368456,0.56,0.64,0.07999999999999996,1.0,1.0,0.0,50,38
