n_tests,k,baseline_ms,proposed_ms,ms_improvement,baseline_ftrr,proposed_ftrr,ftrr_improvement
20,5,100.0,100.0,0.0,71.42857142857143,71.42857142857143,0.0
20,10,100.0,100.0,0.0,100.0,100.0,0.0
20,20,90.0,100.0,10.0,100.0,100.0,0.0
20,25,92.0,100.0,8.0,100.0,100.0,0.0
50,5,100.0,100.0,0.0,71.42857142857143,71.42857142857143,0.0
50,10,100.0,100.0,0.0,100.0,100.0,0.0
50,20,90.0,100.0,10.0,100.0,100.0,0.0
50,25,88.0,100.0,12.0,100.0,100.0,0.0
100,5,100.0,100.0,0.0,71.42857142857143,71.42857142857143,0.0
100,10,100.0,100.0,0.0,100.0,100.0,0.0
100,20,90.0,100.0,10.0,100.0,100.0,0.0
100,25,88.0,100.0,12.0,100.0,100.0,0.0
200,5,100.0,100.0,0.0,71.42857142857143,71.42857142857143,0.0
200,10,100.0,100.0,0.0,100.0,100.0,0.0
200,20,90.0,100.0,10.0,100.0,100.0,0.0
200,25,88.0,100.0,12.0,100.0,100.0,0.0
